,ingre_count,is_described,duration,venue_0,venue_1,venue_2,venue_3,container_0,container_1,container_2,container_3,container_4,container_5,container_6,container_7,container_8,container_9
353,2,0,19,0,1,0,0,0,0,1,0,0,0,0,0,0,0
354,0,0,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0
355,6,1,259,1,0,0,0,0,0,1,0,0,0,0,0,0,0
356,0,0,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0
357,8,0,31,0,1,0,0,0,0,0,1,0,0,0,0,0,0
358,4,0,82,0,1,0,0,0,0,1,0,0,0,0,0,0,0
359,4,0,78,0,1,0,0,0,0,1,0,0,0,0,0,0,0
360,3,0,177,1,0,0,0,1,0,0,0,0,0,0,0,0,0
361,9,0,113,1,0,0,0,0,0,1,0,0,0,0,0,0,0
362,0,0,26,1,0,0,0,0,0,0,0,0,0,1,0,0,0
363,5,0,122,0,1,0,0,0,0,1,0,0,0,0,0,0,0
364,3,0,76,0,1,0,0,0,0,1,0,0,0,0,0,0,0
365,1,0,44,0,1,0,0,1,0,0,0,0,0,0,0,0,0
366,4,0,68,0,1,0,0,1,0,0,0,0,0,0,0,0,0
367,3,0,79,1,0,0,0,0,1,0,0,0,0,0,0,0,0
368,2,0,47,1,0,0,0,1,0,0,0,0,0,0,0,0,0
369,0,0,108,0,1,0,0,1,0,0,0,0,0,0,0,0,0
370,3,0,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0
371,2,0,33,0,1,0,0,0,0,1,0,0,0,0,0,0,0
372,1,0,38,0,0,0,1,1,0,0,0,0,0,0,0,0,0
373,1,0,29,0,0,0,1,0,0,1,0,0,0,0,0,0,0
374,3,0,21,0,1,0,0,0,0,0,0,1,0,0,0,0,0
375,17,1,674,0,1,0,0,0,0,0,1,0,0,0,0,0,0
